Category,Item name
"Electrical","3C X 1.5 SQ.MM COPPER FLEXIBLE  FRLS CABLE"
"Electrical","3C X 2.5 SQ.MM COPPER FLEXIBLE  FRLS CABLE"
"Electrical","3C X 4 SQ.MM COPPER  FLEXIBAL Cable FRLS CABLE"
"Electrical","3C X 4SQ.MM FLEXIBLE FRLS CABLE"
"Electrical","4 MODULE : 4MODULE COVER PLATE"
"Electrical","4 MODULE COVER PLATE"
"Electrical","4 MODULE S.S METAL BOX"
"Electrical","4 MODULE SURFACE BOX"
"Electrical","4 MOUDLE COVER PLATE"
"Electrical","4 POLE DP RCBO : 32 AMP - 100mA"
"Electrical","4 POLE DP RCBO : 40 AMP - 100mA"
"Electrical","4 POLE DP RCBO : 63 AMP - 100mA"
"Electrical","4 POLE MCB : 25 AMP - 10 kA"
"Electrical","4 POLE MCB : 32 AMP - 10 kA"
"Electrical","4 POLE MCB : 40 AMP - 10 kA"
"Electrical","4 POLE MCB : 63 AMP - 10 kA"
"Electrical","4 SQ.MM COPPER PIN TYPE LUG"
"Electrical","4-POLE SPD"
"Electrical","4-POLE SPD TYPE-2"
"Electrical","4-way junction box-black"
"Electrical","4-way junction box-white"
"Electrical","4-WAY JUNCTON BOX."
"Electrical","4.0 SQ.MM COPPER FLEXIBLE FRLS WIRES"
"Electrical","4.0 sq.mm Ferrule Copper Crimp Connector – Insulated Cord Pin End Terminal (Black) Pack of 10"
"Electrical","4.0SQ.MM COPPER PIN TYPE LUG"
"Electrical","4"" x 4"" Or 6""x 6"" Size PVC junction Box"
"Electrical","40 Amp ELCB (300mA) With Its Enclosures"
"Electrical","40 Amp FP MCB,10kA"
"Electrical","40 MM PVC FLEXIBLE PIPE (ICT)"
"Electrical","40A/4P/300mA/RCCB WITH ENCL."
"Electrical","40amp 2 POLE RCCB 30mA"
"Electrical","40amp 4POLE MCB C'CURVE"
"Electrical","40AMP TP MCB"
"Electrical","40AMP,4P RCCB 300mA"
"Electrical","40AMP,4P RCCB 300mA WITH ENLC"
"Electrical","40MM 2-WAY JUCTION BOX"
"Electrical","40mm 2way junction box"
"Electrical","40MM 3-WAY JUCTION BOX"
"Electrical","40mm 3way junction box"
"Electrical","40MM 4-WAY JUCTION BOX"
"Electrical","40mm 4way junction box"
"Electrical","40mm bend"
"Electrical","40mm coupler"
"Electrical","40mm JUNCTION BOX COVER PLATE"
"Electrical","4C X 1.5 SQ.MM COPPER AMROURED CABLE"
"Electrical","4C X 10SQ.MM ALUMINIUM XLPE ARMOURED CABLE"
"Electrical","4C X 25 SQ.MM XLPE ALUMNINIUM ARMOURED FRLS  CABLE"
"Electrical","4C X 4 SQ.MM ALUMINUM ARMMOURED XLPE  CABLE"
"Electrical","4c x 4 Sq.mm Aluminum Armoured XLPE cable."
"Electrical","4c x 4sq.mm aluminiam armoured frls cable"
"Electrical","4C X 4SQ.MM COPPER  ARMOURED CABLE"
"Electrical","4c x 6 copper Armoured CABLE FRLS"
"Electrical","4Cx1.5sqmm COPPER FRLS XLPE ARMOURED CABLE"
"Electrical","4Cx2.5SQ.MM COPPER  XLPE ARMOURED CABLE"
"Electrical","4Cx2.5SQ.MM COPPER FLEXIBLE CABLES"
"Electrical","4Cx4SQ.MM COPPER ARMOURED CABLES SINGLE COMPRESURE GLAND"
"Electrical","4M COVER PLATE WITH BOX"
"Electrical","4MM 3 CORE COPPER SUB.CABLE ISI"
"Electrical","4MM COPER PIN LUG."
"Electrical","4SQ.MM ALUMINIUM BIG HOL RING TYPE LUG"
"Electrical","4sq.mm cable double compressor gland"
"Electrical","4SQ.MM COPPER CRIMP PIN TYPE CONNECTOR INSULATED CORD PIN"
"Electrical","4SQ.MM COPPER PIN TYPE LUG"
"Electrical","4SQ.MM CU PIN TYPE LUG"
"Electrical","4SQ.MM X 3C CABLE GLAND"
"Electrical","4SQ.MM X 4C CABLE GLAND"
"Electrical","5 HP 3 -PHASE DOL STARTER"
"Electrical","5/8"" GLAND"
"Electrical","50  SQ.MM COPPER RING TYPE LUG"
"Electrical","50MM ALUMINIUM RING LUG."
"Electrical","50SQ.MM ALUMNIUM RING TYPE LUG"
"Electrical","6 A TWO WAY SWITCH"
"Electrical","6 MODULE  COVER PLATE"
"Electrical","6 MODULE : 6MODULE COVER PLATE"
"Electrical","6 MODULE S.S METAL BOX"
"Electrical","6 MOUDLE COVER PLATE"
"Electrical","6 SQ.MM COPPER PIN TYPE LUG"
"Electrical","6 WAY VTPN DB-LEGRAND…."
"Electrical","6-WAY ETPN DB WITH PPI KIT"
"Electrical","6.0 sq.mm copper frls wire"
"Electrical","6/16 AMP POWER SOCKET"
"Electrical","6/16 AMP UNIVERSAL SOCKET"
"Electrical","6/16A POWER SOCKET"
"Electrical","6/16Amp POWER SOCKET"
"Electrical","6/16Amp SWITCH WITH INDICATOR"
"Electrical","63 AMP FP MCB  WITH ENCLOUSER LEGRAND"
"Electrical","63 Amp FP MCB,10kA"
"Electrical","63AMP 2POLE ELCB"
"Electrical","63AMP 4POLE MCB"
"Electrical","63AMP FP MCB INCOMER…."
"Electrical","6amp power socket"
"Electrical","6M COVER PLATE WITH BOX"
"Electrical","6SQ.MM COPPER PIN TYPE LUG"
"Electrical","7.5 HP 3 -PHASE DOL STARTER"
"Electrical","7/8"" GLAND"
"Electrical","70  SQ.MM COPPER RING TYPE LUG"
"Electrical","70 SQ.MM ALUMINIUM RING TYPE LUG"
"Electrical","70SQ.MM AL RING TYPE LUG"
"Electrical","70SQ.MM ALUMNIUM RING TYPE LUG"
"Electrical","750 KVA SILENT DG SET"
"Electrical","75SQ.MM AL RING TYPE LUG"
"Electrical","8 MODULE : 8MODULE COVER PLATE"
"Electrical","8 MODULE COVER PLATE"
"Electrical","8 MODULE S.S METAL BOX"
"Electrical","8 MOUDLE COVER PLATE (HORIZONTAL)"
"Electrical","8 SWG COPPER  ERATHING CONDUCTOR"
"Electrical","8 SWG COPPER CONDUCTOR"
"Electrical","8 SWG COPPER GUAGE TAR"
"Electrical","8-WAY ETPN DB"
"Electrical","8-WAY ETPN DB PPI KIT"
"Electrical","8-WAY ETPN DBS PPI KIT"
"Electrical","8-WAY ETPN PPI KIT"
"Electrical","8-WAY SPN DB"
"Electrical","95  SQ.MM ALUMINUIM CABLE RING TYPE LUG."
"Electrical","95MM ALUMINIUM RING LUG."
"Electrical","95SQ.MM AL RING TYPE LUG"
"Electrical","ANTI CORROSIVE COMPOUND PASTE FOR ELECTRICAL LUG CRIMPING"
"Electrical","APFCR PANEL -01"
"Electrical","Armoured Cable 185 sqmm 3.5c"
"Electrical","BLANKS"
"Electrical","BOX"
"Electrical","Cable Gland - 4C x 16 Sqmm"
"Electrical","CABLE TIE"
"Electrical","CABLE TIE - 250MM X 3.6MM"
"Electrical","Cable Ties"
"Electrical","COMMON FACILITY BLOCK LT PANEL"
"Electrical","CONDUITS - 25MM"
"Electrical","COPPER CABLE - 12C X 1.0 SQMM FLEXIBLE CABLE"
"Electrical","COPPER CABLE - 1C X 185 SQMM FLEXIBLE CABLE"
"Electrical","COPPER CABLE - 3C X 1.5 SQMM FLEXIBLE CABLE"
"Electrical","COPPER CABLE - 3C X 2.5 SQMM FLEXIBLE CABLE"
"Electrical","COPPER FLEXIBLE FRLS TYPE : 1.5 SQ.MM BLACK"
"Electrical","COPPER FLEXIBLE FRLS TYPE : 1.5 SQ.MM GREEN"
"Electrical","COPPER FLEXIBLE FRLS TYPE : 1.5 SQ.MM RED"
"Electrical","COPPER FLEXIBLE FRLS TYPE : 1.5 SQ.MM YELLOW"
"Electrical","COPPER FLEXIBLE FRLS TYPE : 2.5 SQ.MM BLACK"
